Breast cancer screening,Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years|Female member who has not had a mammogram during the last two years
Pain Assessment,Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.|Member above 65+ who has not had a pain screening at least once in this current plan year.
Cervical cancer screening,Member has not had appropriate screening for cervical cancer in the last 2 years|Member has not had appropriate screening for cervical cancer in the last 2 years|Member has not had appropriate screening for cervical cancer in the last 2 years|Member has not had appropriate screening for cervical cancer in the last 2 years|Member has not had appropriate screening for cervical cancer in the last 2 years|Member has not had appropriate screening for cervical cancer in the last 2 years
Post Partum Visit,Member has not attended appropriate postpartum care visits|Member has not attended appropriate postpartum care visits|Member has not attended appropriate postpartum care visits|Member has not attended appropriate postpartum care visits|Member has not attended appropriate postpartum care visits
Diabetic No Statin,Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy|Member with diabetes who is not receiving statin therapy
Osteoporosis Testing and Management in Older Women,Female member between age of 67-85 who suffered a fracture and had either a bone mineral density test or received a prescription to treat osteoporosis|Female member between age of 67-85 who suffered a fracture and had either a bone mineral density test or received a prescription to treat osteoporosis|Female member between age of 67-85 who suffered a fracture and had either a bone mineral density test or received a prescription to treat osteoporosis|Female member between age of 67-85 who suffered a fracture and had either a bone mineral density test or received a prescription to treat osteoporosis|Female member between age of 67-85 who suffered a fracture and had either a bone mineral density test or received a prescription to treat osteoporosis
Diabetic Eye Exam,Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year|Member with diabetes who has not had an eye exam to check for damage from diabetes in this current plan year
